date,window_start,window_end,n_obs_window,realized_return,realized_loss,historical_var,parametric_var,monte_carlo_var,historical_es,parametric_es,monte_carlo_es,monte_carlo_seed,expected_tail_observations,sparse_tail,historical_exception,parametric_exception,monte_carlo_exception
2016-05-09,2015-05-12,2016-05-06,250,0.0008256150030798136,-825.6150030798135,27908.426194944906,24352.026834252596,24373.006111578805,34628.674572869495,27897.868903471193,27768.18847194278,1736093,2.5,True,False,False,False
2016-05-10,2015-05-13,2016-05-09,250,0.012357330716908647,-12357.330716908647,27908.426194944906,24333.0452641434,24046.834405092985,34628.674572869495,27878.34893935567,27614.796482549933,1736094,2.5,True,False,False,False
2016-05-11,2015-05-14,2016-05-10,250,-0.009398860050199007,9398.860050199006,27908.426194944906,24352.122270591397,24288.98072858499,34628.674572869495,27907.293885524967,27730.042414170937,1736095,2.5,True,False,False,False
2016-05-12,2015-05-15,2016-05-11,250,0.0002906996582593252,-290.6996582593252,27908.426194944906,24422.89161857539,24400.655992417745,34628.674572869495,27976.851229961023,27954.1772858597,1736096,2.5,True,False,False,False
2016-05-13,2015-05-18,2016-05-12,250,-0.008752495713990787,8752.495713990787,27908.426194944906,24425.559225606117,24408.480481065504,34628.674572869495,27979.445443797933,28050.525796114893,1736097,2.5,True,False,False,False
2016-05-16,2015-05-19,2016-05-13,250,0.009817031871837717,-9817.031871837717,27908.426194944906,24502.251066866495,24477.19405186208,34628.674572869495,28060.40167041292,28023.40009154734,1736100,2.5,True,False,False,False
2016-05-17,2015-05-20,2016-05-16,250,-0.009377221615988304,9377.221615988303,27908.426194944906,24504.95347777428,24663.639044893844,34628.674572869495,28069.409183715077,28340.470718427187,1736101,2.5,True,False,False,False
2016-05-18,2015-05-21,2016-05-17,250,0.0002925121234973273,-292.5121234973273,27908.426194944906,24578.045037092834,24590.970144260944,34628.674572869495,28148.094230803737,28126.94181798725,1736102,2.5,True,False,False,False
2016-05-19,2015-05-22,2016-05-18,250,-0.003471162618180717,3471.162618180717,27908.426194944906,24584.622297164726,24566.360868416534,34628.674572869495,28154.10551589524,28058.36969927879,1736103,2.5,True,False,False,False
2016-05-20,2015-05-26,2016-05-19,250,0.0062972468659660075,-6297.246865966007,27908.426194944906,24591.670065246217,24689.3197837329,34628.674572869495,28161.550752516687,28279.377943346477,1736104,2.5,True,False,False,False
2016-05-23,2015-05-27,2016-05-20,250,-0.0013630464162425323,1363.0464162425324,27908.426194944906,24489.740253373635,24455.32847720792,34628.674572869495,28054.74115818821,28134.94597401483,1736107,2.5,True,False,False,False
2016-05-24,2015-05-28,2016-05-23,250,0.012878878259615551,-12878.87825961555,27908.426194944906,24493.786498549318,24406.947884524638,34628.674572869495,28053.078057131916,27960.978128896648,1736108,2.5,True,False,False,False
2016-05-25,2015-05-29,2016-05-24,250,0.006760420328168561,-6760.420328168561,27908.426194944906,24511.23177265185,24628.202432664,34628.674572869495,28081.22614659691,28302.088707141316,1736109,2.5,True,False,False,False
2016-05-26,2015-06-01,2016-05-25,250,0.0002864074585212211,-286.40745852122114,27908.426194944906,24462.037590950746,24432.061524011806,34628.674572869495,28032.436413764368,28095.65342736737,1736110,2.5,True,False,False,False
2016-05-27,2015-06-02,2016-05-26,250,0.004289989386088598,-4289.989386088598,27908.426194944906,24467.301462697822,24278.749845491624,34628.674572869495,28037.448581888326,27949.428665104322,1736111,2.5,True,False,False,False
